Proteins	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	"Genes of polypeptide, complex, or RNA"	Pathways of enzyme	UniProt-via-RefSeq	NCBI-Protein	Data-Source	Pfam
phosphate/phosphite/phosphonate ABC transporter substrate-binding protein	transmembrane transport	ATP-binding cassette (ABC) transporter complex // membrane // plasma membrane		phnD		WP_011863200.1	WP_011863200.1		PF12974
hypothetical protein		integral component of membrane // membrane		P9301_RS14965		WP_144038817.1	WP_144038817.1		
hypothetical protein		integral component of membrane // membrane		P9301_RS18460		WP_011818516.1	WP_011818516.1		
Dihydroxyacid dehydratase	valine biosynthetic process // isoleucine biosynthetic process // branched-chain amino acid biosynthetic process // cellular amino acid biosynthetic process		"4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // lyase activity // dihydroxy-acid dehydratase activity // catalytic activity"	ilvD	L-isoleucine biosynthesis I (from threonine) // superpathway of branched chain amino acid biosynthesis // L-valine biosynthesis // Entner-Doudoroff pathway I // Entner-Doudoroff shunt	WP_011862811.1	WP_011862811.1		PF00920
hypothetical protein				P9301_RS16705		WP_011863540.1	WP_011863540.1		
DUF3038 domain-containing protein				P9301_RS18310		WP_071813380.1	WP_071813380.1		PF11237
proline--tRNA ligase	aminoacyl-tRNA metabolism involved in translational fidelity // prolyl-tRNA aminoacylation // tRNA aminoacylation for protein translation // translation	cytoplasm	ligase activity // ATP binding // proline-tRNA ligase activity // aminoacyl-tRNA ligase activity // aminoacyl-tRNA editing activity // nucleotide binding	proS	tRNA charging	WP_011862528.1	WP_011862528.1		PF00587
hypothetical protein				P9301_RS10365		WP_011862282.1	WP_011862282.1		
murein biosynthesis integral membrane protein MurJ		integral component of membrane // membrane		murJ		WP_011862302.1	WP_011862302.1		PF03023
hypothetical protein		integral component of membrane // membrane		P9301_RS14515		WP_011818573.1	WP_011818573.1		
Grx4 family monothiol glutaredoxin	cell redox homeostasis // electron transport chain		"2 iron, 2 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // disulfide oxidoreductase activity // protein-disulfide reductase activity // electron transfer activity"	grxD		WP_011863168.1	WP_011863168.1		PF00462
urea ABC transporter substrate-binding protein				urtA		WP_011862858.1	WP_011862858.1		PF13433
type II secretion system protein		integral component of membrane // membrane		P9301_RS12570		WP_011862698.1	WP_011862698.1		
aminodeoxychorismate/anthranilate synthase component II	glutamine metabolic process		4-amino-4-deoxychorismate synthase activity // lyase activity // transferase activity // transaminase activity // anthranilate synthase activity	P9301_RS10085	superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // 4-aminobenzoate biosynthesis	WP_011862229.1	WP_011862229.1		PF00117
6-phosphogluconate dehydrogenase	D-gluconate metabolic process // pentose-phosphate shunt		NADP binding // oxidoreductase activity // phosphogluconate dehydrogenase (decarboxylating) activity	gnd	pentose phosphate pathway // pentose phosphate pathway (oxidative branch) I	WP_011862807.1	WP_011862807.1		PF03446
metal ABC transporter ATP-binding protein			ATPase // ATP binding // nucleotide binding	P9301_RS12165		WP_011862618.1	WP_011862618.1		PF00005
glycosyltransferase family 2 protein			transferase activity	P9301_RS17055		WP_011863608.1	WP_011863608.1		PF00535
4a-hydroxytetrahydrobiopterin dehydratase	tetrahydrobiopterin biosynthetic process		lyase activity // 4-alpha-hydroxytetrahydrobiopterin dehydratase activity	P9301_RS11930		WP_011862572.1	WP_011862572.1		PF01329
DUF565 domain-containing protein		integral component of membrane // membrane		P9301_RS13955		WP_011862981.1	WP_011862981.1		PF04483
hypothetical protein				P9301_RS09790		WP_011862170.1	WP_011862170.1		
DUF1232 domain-containing protein				P9301_RS12035		WP_011862592.1	WP_011862592.1		PF06803
hypothetical protein				P9301_RS13830		WP_041484687.1	WP_041484687.1		
acylneuraminate cytidylyltransferase family protein			nucleotidyltransferase activity // transferase activity // N-acylneuraminate cytidylyltransferase activity	P9301_RS15770		WP_011863345.1	WP_011863345.1		PF02348
glutamine-hydrolyzing GMP synthase	glutamine metabolic process // GMP biosynthetic process // purine nucleotide biosynthetic process		ligase activity // pyrophosphatase activity // ATP binding // GMP synthase (glutamine-hydrolyzing) activity // nucleotide binding	guaA	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I // superpathway of purine nucleotides <i>de novo</i> biosynthesis I // guanosine ribonucleotides <i>de novo</i> biosynthesis // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-glutamine degradation I	WP_011862064.1	WP_011862064.1		PF00117
OsmC family protein				P9301_RS14455		WP_011863084.1	WP_011863084.1		PF02566
phospho-N-acetylmuramoyl-pentapeptide- transferase	cell wall organization // cell division // peptidoglycan biosynthetic process // regulation of cell shape // cell cycle	integral component of membrane // membrane // plasma membrane	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity // transferase activity // phospho-N-acetylmuramoyl-pentapeptide-transferase activity"	mraY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	WP_011863804.1	WP_011863804.1		PF10555
dihydroneopterin aldolase	folic acid biosynthetic process // tetrahydrofolate biosynthetic process // folic acid-containing compound metabolic process		lyase activity // dihydroneopterin aldolase activity	folB	superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	WP_011862607.1	WP_011862607.1		PF02152
TIGR03643 family protein				P9301_RS11250		WP_011862445.1	WP_011862445.1		PF10985
30S ribosomal protein S3	translation	ribosome	rRNA binding // structural constituent of ribosome // mRNA binding // RNA binding // nucleic acid binding	rpsC		WP_011819165.1	WP_011819165.1		PF07650
B12-binding domain-containing radical SAM protein			iron-sulfur cluster binding // catalytic activity	P9301_RS17060		WP_011863609.1	WP_011863609.1		PF04055
Mini-ribonuclease 3	"RNA phosphodiester bond hydrolysis, endonucleolytic // RNA phosphodiester bond hydrolysis // nucleic acid phosphodiester bond hydrolysis // ribosome biogenesis // RNA processing // rRNA processing"	cytoplasm	rRNA binding // hydrolase activity // ribonuclease III activity // endonuclease activity // nuclease activity // RNA binding	mrnC		WP_011862880.1	WP_011862880.1		PF00636
YvcK family protein	regulation of cell shape	integral component of membrane // membrane // cytoplasm		P9301_RS10635		WP_011862331.1	WP_011862331.1		PF01933
Possible Uncharacterized protein family UPF005		integral component of membrane // membrane		P9301_RS15330		WP_011863261.1	WP_011863261.1		
dihydropteroate synthase	folic acid biosynthetic process // tetrahydrofolate biosynthetic process // cellular metabolic process // pteridine-containing compound metabolic process // folic acid-containing compound biosynthetic process		metal ion binding // transferase activity // dihydropteroate synthase activity	folP	superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // tetrahydrofolate biosynthesis	WP_011863004.1	WP_011863004.1		PF00809
Clp protease chaperone/ATPase component ClpC				clpC		WP_011863146.1	WP_011863146.1		PF02861
tRNA pseudouridine(55) synthase TruB	tRNA pseudouridine synthesis // RNA modification // tRNA processing // RNA processing // pseudouridine synthesis		tRNA pseudouridine synthase activity // isomerase activity // pseudouridine synthase activity // RNA binding	truB		WP_011863460.1	WP_011863460.1		PF01509
Nif11 family protein				P9301_RS14425		WP_011863077.1	WP_011863077.1		PF07862
Possible Helix-turn-helix domain of resolvase				P9301_RS11700		WP_011862529.1	WP_011862529.1		
hypothetical protein				P9301_RS18345		WP_071813384.1	WP_071813384.1		
hypothetical protein				P9301_RS15320		WP_011818732.1	WP_011818732.1		
hypothetical protein		integral component of membrane // membrane		P9301_RS12525		WP_011862689.1	WP_011862689.1		
50S ribosomal protein L19	translation	ribosome	structural constituent of ribosome	rplS		WP_080513431.1	WP_080513431.1		PF01245
50S ribosomal protein L36				P9301_RS18355		WP_011377173.1	WP_011377173.1		PF00444
photosystem II core protein PsbZ	photosystem II stabilization // photosynthesis	integral component of membrane // membrane // thylakoid // photosystem II reaction center // photosystem II		psbZ	oxygenic photosynthesis // photosynthesis light reactions	WP_002807211.1	WP_002807211.1		PF01737
ribonuclease HI	"RNA phosphodiester bond hydrolysis, endonucleolytic // nucleic acid phosphodiester bond hydrolysis // RNA catabolic process"	cytoplasm	metal ion binding // hydrolase activity // RNA-DNA hybrid ribonuclease activity // endonuclease activity // nuclease activity // nucleic acid binding // magnesium ion binding	rnhA		WP_011862245.1	WP_011862245.1		PF00075
tetracycline resistance MFS efflux pump	transmembrane transport	integral component of membrane // membrane	transmembrane transporter activity	P9301_RS18075		WP_011863791.1	WP_011863791.1		PF07690
Clp protease adapter protein ClpS2				clpS2		WP_041484725.1	WP_041484725.1		PF02617
hypothetical protein				P9301_RS10215		WP_011862253.1	WP_011862253.1		
hypothetical protein				P9301_RS12455		WP_144038815.1	WP_144038815.1		
phosphoribosylanthranilate isomerase	aromatic amino acid family biosynthetic process // cellular amino acid biosynthetic process // tryptophan metabolic process // tryptophan biosynthetic process		isomerase activity // phosphoribosylanthranilate isomerase activity // catalytic activity	P9301_RS11835	superpathway of L-tryptophan biosynthesis // L-tryptophan biosynthesis	WP_011862556.1	WP_011862556.1		PF00697
sigma-70 family RNA polymerase sigma factor	"regulation of DNA-templated transcription, initiation // regulation of transcription, DNA-templated // DNA-templated transcription, initiation"		sigma factor activity // DNA-binding transcription factor activity // DNA binding	P9301_RS12040		WP_011862593.1	WP_011862593.1		PF00140
hypothetical protein				P9301_RS13265		WP_041484682.1	WP_041484682.1		
ArsJ-associated glyceraldehyde-3-phosphate dehydrogenase	glucose metabolic process		"NAD binding // NADP binding // oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor // oxidoreductase activity // nucleotide binding"	P9301_RS14975		WP_011863185.1	WP_011863185.1		PF00044
NAD(P)H-quinone oxidoreductase subunit M		thylakoid membrane // membrane // thylakoid	"quinone binding // oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	ndhM		WP_011862190.1	WP_011862190.1		PF10664
16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	rRNA base methylation // methylation // rRNA processing	cytoplasm	rRNA (cytosine-N4-)-methyltransferase activity // transferase activity // methyltransferase activity	rsmH		WP_011862216.1	WP_011862216.1		PF01795
hypothetical protein		integral component of membrane // membrane		P9301_RS12575		WP_011818162.1	WP_011818162.1		
phosphatidate cytidylyltransferase	CDP-diacylglycerol biosynthetic process	integral component of membrane // membrane	"nucleotidyltransferase activity // transferase activity, transferring phosphorus-containing groups // transferase activity // phosphatidate cytidylyltransferase activity"	cdsA	CDP-diacylglycerol biosynthesis I // CDP-diacylglycerol biosynthesis III	WP_011863143.1	WP_011863143.1		PF01148
type 1 glutamine amidotransferase	glutamine metabolic process			P9301_RS15260		WP_011863248.1	WP_011863248.1		PF00117
YihY/virulence factor BrkB family protein		integral component of membrane // membrane // plasma membrane		P9301_RS09620		WP_011862138.1	WP_011862138.1		PF03631
Marine cyanobacterial conserved hypothetical		integral component of membrane // membrane		P9301_RS16115		WP_011863411.1	WP_011863411.1		
hypothetical protein		integral component of membrane // membrane		P9301_RS12520		WP_011862688.1	WP_011862688.1		
4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin)	"cellular metabolic process // isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway // terpenoid biosynthetic process // isoprenoid biosynthetic process"		"4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity // oxidoreductase activity // iron ion binding"	gcpE	methylerythritol phosphate pathway II	WP_011862717.1	WP_011862717.1		PF04551
hypothetical protein				P9301_RS09385		WP_011862085.1	WP_011862085.1		
DUF2808 domain-containing protein		integral component of membrane // membrane		P9301_RS15615		WP_011863316.1	WP_011863316.1		PF10989
nickel pincer cofactor biosynthesis protein LarB	'de novo' IMP biosynthetic process		5-amino-4-imidazole carboxylate lyase activity // lyase activity // hydrolase activity // phosphoribosylaminoimidazole carboxylase activity	larB		WP_011863394.1	WP_011863394.1		PF00731
EVE domain-containing protein				P9301_RS16710		WP_011863541.1	WP_011863541.1		PF01878
DNA primase	"DNA replication, synthesis of RNA primer // DNA replication"	primosome complex	metal ion binding // nucleotidyltransferase activity // transferase activity // zinc ion binding // DNA-directed 5'-3' RNA polymerase activity // DNA primase activity // DNA binding	dnaG		WP_011862890.1	WP_011862890.1		PF01807
Ketol-acid reductoisomerase	valine biosynthetic process // isoleucine biosynthetic process // branched-chain amino acid biosynthetic process // cellular amino acid biosynthetic process		NADP binding // metal ion binding // oxidoreductase activity // ketol-acid reductoisomerase activity // magnesium ion binding	ilvC	L-valine biosynthesis // superpathway of branched chain amino acid biosynthesis // L-isoleucine biosynthesis I (from threonine) // phosphopantothenate biosynthesis I	WP_011863430.1	WP_011863430.1		PF07991
peptidase E	proteolysis		hydrolase activity // serine-type peptidase activity // peptidase activity // aminopeptidase activity	P9301_RS14235		WP_011863039.1	WP_011863039.1		PF03575
DNA/RNA nuclease SfsA			DNA binding	sfsA		WP_011862303.1	WP_011862303.1		PF17746
ClpP2 serine protease	proteolysis	cytoplasm	hydrolase activity // serine-type peptidase activity // peptidase activity // serine-type endopeptidase activity	clpP2		WP_011819266.1	WP_011819266.1		PF00574
DUF2256 domain-containing protein				P9301_RS18275		WP_071813202.1	WP_071813202.1		PF10013
magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase	light-independent chlorophyll biosynthetic process // chlorophyll biosynthetic process // photosynthesis		magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase activity // metal ion binding // oxidoreductase activity // iron ion binding	acsF	"3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent) // 3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)"	WP_011862989.1	WP_011862989.1		PF02915
ribonuclease D	"RNA phosphodiester bond hydrolysis, endonucleolytic // RNA phosphodiester bond hydrolysis // nucleic acid phosphodiester bond hydrolysis // nucleobase-containing compound metabolic process"		hydrolase activity // 3'-5' exonuclease activity // ribonuclease III activity // nucleic acid binding	rnd	tRNA processing	WP_011863687.1	WP_011863687.1		PF01612
prolyl aminopeptidase	proteolysis	cytoplasm	hydrolase activity // peptidase activity // aminopeptidase activity	pip		WP_011862396.1	WP_011862396.1		PF00561
SpoIID/LytB domain-containing protein	sporulation resulting in formation of a cellular spore			P9301_RS16395		WP_011863461.1	WP_011863461.1		PF08486
hypothetical protein				P9301_RS14350		WP_011863063.1	WP_011863063.1		
hypothetical protein		integral component of membrane // membrane		P9301_RS12680		WP_011862721.1	WP_011862721.1		
DUF4335 domain-containing protein		integral component of membrane // membrane		P9301_RS14030		WP_041484761.1	WP_041484761.1		PF14233
high light inducible protein				P9301_RS18475		WP_144038831.1	WP_144038831.1		
DUF3721 domain-containing protein				P9301_RS15165		WP_011818705.1	WP_011818705.1		PF12518
cytochrome b6-f complex subunit PetM	electron transport chain // photosynthesis	thylakoid membrane // integral component of membrane // membrane // thylakoid // cytochrome b6f complex	electron transfer activity	petM	oxygenic photosynthesis // photosynthesis light reactions	WP_011863281.1	WP_011863281.1		PF08041
RibD/RibG domain-containing protein	riboflavin biosynthetic process		oxidoreductase activity // 5-amino-6-(5-phosphoribosylamino)uracil reductase activity	P9301_RS09675	flavin biosynthesis I (bacteria and plants)	WP_011862148.1	WP_011862148.1		PF01872
hypothetical protein				P9301_RS13145		WP_011862819.1	WP_011862819.1		
bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	phosphorylation // thiamine biosynthetic process		transferase activity // kinase activity // phosphomethylpyrimidine kinase activity // hydroxymethylpyrimidine kinase activity // ATP binding // nucleotide binding	thiD	superpathway of thiamine diphosphate biosynthesis II // hydroxymethylpyrimidine salvage // 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I	WP_011862400.1	WP_011862400.1		PF08543
phytoene synthase	biosynthetic process		"squalene synthase activity // geranylgeranyl-diphosphate geranylgeranyltransferase activity // transferase activity, transferring alkyl or aryl (other than methyl) groups // transferase activity // farnesyl-diphosphate farnesyltransferase activity"	P9301_RS09880	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	WP_011862188.1	WP_011862188.1		PF00494
Gfo/Idh/MocA family oxidoreductase			oxidoreductase activity	P9301_RS15775		WP_011863346.1	WP_011863346.1		PF01408
ribokinase	carbohydrate phosphorylation // phosphorylation		transferase activity // kinase activity // ribokinase activity	P9301_RS14555		WP_011863103.1	WP_011863103.1		PF00294
glutamine--fructose-6-phosphate transaminase (isomerizing)	carbohydrate derivative biosynthetic process // carbohydrate derivative metabolic process // carbohydrate metabolic process	cytoplasm	carbohydrate derivative binding // transferase activity // transaminase activity // glutamine-fructose-6-phosphate transaminase (isomerizing) activity	glmS	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I	WP_011863709.1	WP_011863709.1		PF13522
DUF1651 domain-containing protein				P9301_RS15125		WP_011863218.1	WP_011863218.1		PF07864
Possible Reverse transcriptase (RNA-dependent)	RNA-dependent DNA biosynthetic process	integral component of membrane // membrane	RNA-directed DNA polymerase activity	P9301_RS11705		WP_011862530.1	WP_011862530.1		
heme chaperone HemW monomer				hemW		WP_011863427.1	WP_011863427.1		PF04055
hypothetical protein				P9301_RS18425		WP_144038809.1	WP_144038809.1		
NAD(P)H-quinone oxidoreductase subunit J				ndhJ		WP_011862332.1	WP_011862332.1		PF00329
hypothetical protein				P9301_RS10900		WP_011862373.1	WP_011862373.1		
DUF2811 domain-containing protein				P9301_RS16715		WP_011863542.1	WP_011863542.1		PF10929
phycoerythrobilin:ferredoxin oxidoreductase	phytochromobilin biosynthetic process		"cobalt ion binding // phycoerythrobilin:ferredoxin oxidoreductase activity // oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor // oxidoreductase activity"	pebB	phycoerythrobilin biosynthesis I	WP_011863695.1	WP_011863695.1		PF05996
Photosystem I reaction center subunit PsaK	photosynthesis	thylakoid membrane // integral component of membrane // membrane // photosystem I		psaK		WP_011862924.1	WP_011862924.1		PF01241
peroxiredoxin	cellular oxidant detoxification // cell redox homeostasis		peroxiredoxin activity // oxidoreductase activity // antioxidant activity // peroxidase activity	P9301_RS13935		WP_011862978.1	WP_011862978.1		PF00578
GNAT family N-acetyltransferase			transferase activity // N-acetyltransferase activity	P9301_RS14240		WP_011863040.1	WP_011863040.1		PF00583
2-keto-3-deoxy-6-phosphogluconate aldolase				kdgA	Entner-Doudoroff pathway I // Entner-Doudoroff shunt	WP_011862268.1	WP_011862268.1		PF01081
Possible Arenavirus glycoprotein				P9301_RS11390		WP_011862473.1	WP_011862473.1		
hypothetical protein				P9301_RS09380		WP_144038808.1	WP_144038808.1		
peptide chain release factor 2	translational termination // translation	cytoplasm	"translation release factor activity, codon specific // translation release factor activity"	prfB		WP_144038811.1	WP_144038811.1		PF03462
hypothetical protein				P9301_RS14310		WP_011863054.1	WP_011863054.1		
cryptochrome/photolyase family protein			lyase activity	P9301_RS11255		WP_011862447.1	WP_011862447.1		PF04244
PepSY domain-containing protein		integral component of membrane // membrane		P9301_RS11530		WP_011862496.1	WP_011862496.1		
50S ribosomal protein L22	translation	large ribosomal subunit // ribosome	rRNA binding // structural constituent of ribosome // RNA binding	rplV		WP_011863656.1	WP_011863656.1		PF00237
ribonuclease Z	"RNA phosphodiester bond hydrolysis, endonucleolytic // tRNA 3'-trailer cleavage // tRNA 3'-trailer cleavage, endonucleolytic // tRNA processing"		"metal ion binding // 3'-tRNA processing endoribonuclease activity // endoribonuclease activity, producing 5'-phosphomonoesters // hydrolase activity // zinc ion binding // endonuclease activity // nuclease activity"	rnz		WP_011863462.1	WP_011863462.1		PF12706
methionine synthase	cellular metabolic process // pteridine-containing compound metabolic process // methylation // methionine biosynthetic process // cellular amino acid biosynthetic process		metal ion binding // cobalamin binding // transferase activity // methionine synthase activity // zinc ion binding // methyltransferase activity	metH	<i>S</i>-adenosyl-L-methionine cycle II // L-methionine biosynthesis II (plants) // superpathway of L-homoserine and L-methionine biosynthesis // folate transformations III (<i>E. coli</i>) // L-methionine biosynthesis I // L-methionine biosynthesis III	WP_011862952.1	WP_011862952.1		PF02574
nucleoside 2-deoxyribosyltransferase				P9301_RS14195		WP_011863031.1	WP_011863031.1		PF05014
hypothetical protein				P9301_RS12560		WP_011862696.1	WP_011862696.1		
Probable hydroxylase for synthesis of 2-methylthio-cis-ribozeatin in tRNA	tRNA modification // 2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine-tRNA biosynthesis		tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-hydroxylase activity	miaE		WP_011862413.1	WP_011862413.1		PF06175
DUF1499 domain-containing protein				P9301_RS12810		WP_011862752.1	WP_011862752.1		PF07386
O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase	'de novo' L-methionine biosynthetic process // transsulfuration // cellular amino acid metabolic process		"pyridoxal phosphate binding // transferase activity, transferring alkyl or aryl (other than methyl) groups // transferase activity // O-acetylhomoserine aminocarboxypropyltransferase activity // catalytic activity"	P9301_RS12365	L-methionine biosynthesis III // L-homocysteine biosynthesis // L-cysteine biosynthesis I	WP_011862658.1	WP_011862658.1		PF01053
nucleoside triphosphate pyrophosphohydrolase family protein				P9301_RS13635		WP_011862919.1	WP_011862919.1		PF03819
Rne/Rng family ribonuclease	RNA phosphodiester bond hydrolysis // RNA processing		ribonuclease activity // RNA binding // nucleic acid binding	P9301_RS17075		WP_011863612.1	WP_011863612.1		PF10150
DUF1643 domain-containing protein				P9301_RS16495		WP_011863481.1	WP_011863481.1		PF07799
alpha-D-glucose phosphate-specific phosphoglucomutase	organic substance metabolic process // carbohydrate metabolic process		"metal ion binding // intramolecular transferase activity, phosphotransferases // isomerase activity // phosphoglucomutase activity // magnesium ion binding"	P9301_RS09525	glycogen biosynthesis I (from ADP-D-Glucose) // glycogen degradation II // glucosylglycerol biosynthesis // D-galactose degradation I (Leloir pathway)	WP_011862116.1	WP_011862116.1		PF02878
hypothetical protein				P9301_RS13580		WP_011862908.1	WP_011862908.1		
hypothetical protein		integral component of membrane // membrane		P9301_RS14550		WP_011863102.1	WP_011863102.1		
extracellular solute-binding protein			metal ion binding	P9301_RS15505		WP_011863295.1	WP_011863295.1		PF13343
NAD(P)H-quinone oxidoreductase chain H	"photosynthesis, light reaction"	thylakoid membrane // membrane // thylakoid	"NAD binding // quinone binding // oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor // oxidoreductase activity, acting on NAD(P)H"	ndhH		WP_011862217.1	WP_011862217.1		PF00346
carboxysomal carbonic anhydrase				csoS3		WP_011862570.1	WP_011862570.1		PF08936
"Signal recognition particle GTPase, FtsY"	SRP-dependent cotranslational protein targeting to membrane // protein targeting to membrane	intrinsic component of plasma membrane // membrane // plasma membrane // cytoplasm	GTP binding // GTPase activity // nucleotide binding	ftsY		WP_011862037.1	WP_011862037.1		PF02881
sll0787 family AIR synthase-like protein				P9301_RS15295		WP_011863255.1	WP_011863255.1		PF00586
isoprenyl transferase			"metal ion binding // transferase activity, transferring alkyl or aryl (other than methyl) groups // transferase activity // prenyltransferase activity // magnesium ion binding"	uppS	"di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis"	WP_011863150.1	WP_011863150.1		PF01255
5'-methylthioadenosine/adenosylhomocysteine nucleosidase	nucleoside metabolic process // metabolic process		"hydrolase activity, acting on glycosyl bonds // hydrolase activity // methylthioadenosine nucleosidase activity // adenosylhomocysteine nucleosidase activity // catalytic activity"	P9301_RS15920	<i>S</i>-methyl-5'-thioadenosine degradation IV	WP_044035342.1	WP_044035342.1		PF01048
DUF1816 domain-containing protein				P9301_RS13450		WP_011862882.1	WP_011862882.1		PF08846
AAA family ATPase				P9301_RS09390		WP_011862087.1	WP_011862087.1		PF01656
DNA helicase			helicase activity	P9301_RS17395		WP_011863666.1	WP_011863666.1		
4-hydroxythreonine-4-phosphate dehydrogenase PdxA			NAD binding // 4-hydroxythreonine-4-phosphate dehydrogenase activity // metal ion binding // oxidoreductase activity	pdxA	pyridoxal 5'-phosphate biosynthesis I	WP_041484646.1	WP_041484646.1		PF04166
ATP-dependent zinc metalloprotease FtsH1				ftsH1		WP_011862782.1	WP_011862782.1		PF06480
50S ribosomal protein L34	translation	ribosome	structural constituent of ribosome	rpmH		WP_002808184.1	WP_002808184.1		PF00468
ABC transporter ATP-binding protein			ATPase // ATP binding // nucleotide binding	P9301_RS10125		WP_011862237.1	WP_011862237.1		PF00005
hypothetical protein				P9301_RS11145		WP_011862428.1	WP_011862428.1		PF11068
urease accessory protein UreD	nitrogen compound metabolic process	cytoplasm	nickel cation binding	ureD		WP_011862862.1	WP_011862862.1		PF01774
multidrug ABC transporter permease		integral component of membrane // membrane		P9301_RS14130		WP_011863017.1	WP_011863017.1		PF06182
DUF3177 family protein		integral component of membrane // membrane		P9301_RS10370		WP_011862283.1	WP_011862283.1		PF11375
ammonia permease				amtB		WP_011862304.1	WP_011862304.1		PF00909
Protein family PM-15				P9301_RS11260		WP_011862448.1	WP_011862448.1		
glycosyltransferase				P9301_RS11970		WP_011862580.1	WP_011862580.1		PF09837
L-threonylcarbamoyladenylate synthase			double-stranded RNA binding	P9301_RS10780	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	WP_011862354.1	WP_011862354.1		PF01300
Pentapeptide repeats				P9301_RS16405		WP_011863463.1	WP_011863463.1		PF00805
DUF1995 family protein				P9301_RS13765		WP_011862944.1	WP_011862944.1		PF09353
carbohydrate kinase	carbohydrate phosphorylation // phosphorylation		"phosphotransferase activity, alcohol group as acceptor // transferase activity // kinase activity // fructokinase activity // 2-dehydro-3-deoxygluconokinase activity"	P9301_RS17730		WP_011863727.1	WP_011863727.1		PF00294
ACR3 family arsenite efflux transporter	transmembrane transport // inorganic anion transport	integral component of membrane // membrane	antiporter activity // inorganic anion transmembrane transporter activity	arsB		WP_011863207.1	WP_011863207.1		PF01758
ribonuclease HII	"RNA phosphodiester bond hydrolysis, endonucleolytic // nucleic acid phosphodiester bond hydrolysis // RNA catabolic process"	cytoplasm	metal ion binding // manganese ion binding // hydrolase activity // RNA-DNA hybrid ribonuclease activity // endonuclease activity // nuclease activity // RNA binding // nucleic acid binding	rnhB		WP_011863613.1	WP_011863613.1		PF01351
2-nonaprenylphenol 4-monooxygenase			FAD binding	ubiH	plastoquinol-9 biosynthesis II	WP_011863000.1	WP_011863000.1		PF01494
DUF3727 domain-containing protein				P9301_RS13180		WP_011862824.1	WP_011862824.1		PF06949
Light dependent protochlorophyllide oxido-reductase			protochlorophyllide reductase activity // oxidoreductase activity	por	"3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)"	WP_011862650.1	WP_011862650.1		PF00106
bifunctional riboflavin kinase/FAD synthetase	phosphorylation // FMN biosynthetic process // riboflavin biosynthetic process // FAD biosynthetic process		nucleotidyltransferase activity // transferase activity // kinase activity // riboflavin kinase activity // ATP binding // FMN adenylyltransferase activity // nucleotide binding	P9301_RS16005	flavin biosynthesis I (bacteria and plants)	WP_011863390.1	WP_011863390.1		PF06574
transcription antitermination protein NusB	"transcription antitermination // regulation of transcription, DNA-templated // DNA-templated transcription, termination"		RNA binding	nusB		WP_011862036.1	WP_011862036.1		PF01029
"Phytoene dehydrogenase, phytoene desaturase"				pds	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	WP_011862189.1	WP_011862189.1		PF01593
