	proMS	co-cultures	product	seq_id	source	type	start	end	score	strand	phase	attributes	Name	eC_number	gene	inference	locus_tag	note	organism	Dbxref	Note	Parent	anticodon	bound_moiety	end_range	gbkey	gene_biotype	gene_synonym	genome	mol_type	old_locus_tag	partial	protein_id	pseudo	regulatory_class	start_range	strain	transl_table
MIT9301_01235	-0.6470377768148416	1.2508275662108346	glyceraldehyde-3-phosphate dehydrogenase	MIT9301_1	Prodigal:2.6	CDS	1048311	1049333	.	+	0	ID=MIT9301_01235;eC_number=1.2.1.12;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49785.1;locus_tag=MIT9301_01235;product=glyceraldehyde-3-phosphate dehydrogenase		1.2.1.12		ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49785.1	MIT9301_01235		MIT9301																			
MIT9301_00259	-0.7272958720928602	0.7120632877716248	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	240592	241041	.	+	0	ID=MIT9301_00259;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO16882.1;locus_tag=MIT9301_00259;note=conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO16882.1	MIT9301_00259	conserved hypothetical protein	MIT9301																			
MIT9301_01079	-1.6978746359900532	1.6525548960182528	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	925870	926019	.	+	0	ID=MIT9301_01079;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM70362.1;locus_tag=MIT9301_01079;note=Conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM70362.1	MIT9301_01079	Conserved hypothetical protein	MIT9301																			
MIT9301_00366	0.3943303037140663	-0.2080147276388972	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	334543	334683	.	+	0	ID=MIT9301_00366;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM69654.1;locus_tag=MIT9301_00366;note=Conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM69654.1	MIT9301_00366	Conserved hypothetical protein	MIT9301																			
MIT9301_00388	-0.4989208394318196	0.3217326058418692	Abortive infection protein	MIT9301_1	Prodigal:2.6	CDS	343981	344829	.	-	0	ID=MIT9301_00388;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17010.1;locus_tag=MIT9301_00388;product=Abortive infection protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17010.1	MIT9301_00388		MIT9301																			
MIT9301_01455	0.4515151980517535	-0.5350051006834123	putative riboflavin kinase/FAD synthase	MIT9301_1	Prodigal:2.6	CDS	1229183	1230106	.	+	0	ID=MIT9301_01455;eC_number=2.7.1.26;Name=ribF;gene=ribF;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM70755.1;locus_tag=MIT9301_01455;product=putative riboflavin kinase/FAD synthase	ribF	2.7.1.26	ribF	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM70755.1	MIT9301_01455		MIT9301																			
MIT9301_00877	0.5262561695535362	-0.2176073495653307	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	756902	757216	.	+	0	ID=MIT9301_00877;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49882.1;locus_tag=MIT9301_00877;note=conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49882.1	MIT9301_00877	conserved hypothetical protein	MIT9301																			
MIT9301_00384	1.262236259658398	3.1361446451295856	putative Spectrin repeat protein	MIT9301_1	Prodigal:2.6	CDS	342537	342887	.	-	0	ID=MIT9301_00384;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGF96356.1;locus_tag=MIT9301_00384;product=putative Spectrin repeat protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGF96356.1	MIT9301_00384		MIT9301																			
MIT9301_01909	0.722563010228315	0.4734062597918965	Sucrose-phosphate synthase	MIT9301_1	Prodigal:2.6	CDS	1631854	1633263	.	-	0	ID=MIT9301_01909;eC_number=2.4.1.14;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB50865.1;locus_tag=MIT9301_01909;product=Sucrose-phosphate synthase		2.4.1.14		ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB50865.1	MIT9301_01909		MIT9301																			
MIT9301_00665	0.5645419844466979	-0.3513679898540153	Ferric uptake regulator family protein	MIT9301_1	Prodigal:2.6	CDS	590091	590543	.	+	0	ID=MIT9301_00665;Name=fur;gene=fur;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE19096.1;locus_tag=MIT9301_00665;product=Ferric uptake regulator family protein	fur		fur	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE19096.1	MIT9301_00665		MIT9301																			
MIT9301_01437	-0.6914051826335688	2.335560118698901	Adenine/guanine phosphoribosyltransferase	MIT9301_1	Prodigal:2.6	CDS	1211525	1212043	.	-	0	ID=MIT9301_01437;eC_number=2.4.2.7;Name=apt;gene=apt;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18064.1;locus_tag=MIT9301_01437;product=Adenine/guanine phosphoribosyltransferase	apt	2.4.2.7	apt	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18064.1	MIT9301_01437		MIT9301																			
MIT9301_00580	0.565160144900363	-0.1870527120168079	putative carboxysome peptide A	MIT9301_1	Prodigal:2.6	CDS	509376	509627	.	+	0	ID=MIT9301_00580;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM71827.1;locus_tag=MIT9301_00580;product=putative carboxysome peptide A				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM71827.1	MIT9301_00580		MIT9301																			
MIT9301_00066	0.4514577946533036	-0.6451197056711122	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	68221	68682	.	-	0	ID=MIT9301_00066;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49117.1;locus_tag=MIT9301_00066;note=conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49117.1	MIT9301_00066	conserved hypothetical protein	MIT9301																			
MIT9301_00286	0.599080838273687	-0.7115958494882917	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	MIT9301_1	Prodigal:2.6	CDS	263760	264956	.	+	0	ID=MIT9301_00286;eC_number=1.17.1.2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGF96227.1;locus_tag=MIT9301_00286;product=4-hydroxy-3-methylbut-2-enyl diphosphate reductase		1.17.1.2		ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGF96227.1	MIT9301_00286		MIT9301																			
MIT9301_01842	0.4846379941265114	-0.8627605234531764	putative Precorrin-8X methylmutase CobH	MIT9301_1	Prodigal:2.6	CDS	1558449	1559072	.	-	0	ID=MIT9301_01842;eC_number=5.4.1.2;Name=cobH;gene=cobH;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM71138.1;locus_tag=MIT9301_01842;product=putative Precorrin-8X methylmutase CobH	cobH	5.4.1.2	cobH	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM71138.1	MIT9301_01842		MIT9301																			
MIT9301_00453	-0.9574247660512047	0.32937449032734	Ubiquinone/menaquinone biosynthesis methyltransferase	MIT9301_1	Prodigal:2.6	CDS	395646	396347	.	+	0	ID=MIT9301_00453;Name=ubiE;gene=ubiE;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17078.1;locus_tag=MIT9301_00453;product=Ubiquinone/menaquinone biosynthesis methyltransferase	ubiE		ubiE	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17078.1	MIT9301_00453		MIT9301																			
MIT9301_01573	-0.4228854892663278	0.0055427224670659	Fatty acid desaturase%2C type 2	MIT9301_1	Prodigal:2.6	CDS	1326076	1327182	.	+	0	ID=MIT9301_01573;Name=desA;gene=desA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABV51227.1;locus_tag=MIT9301_01573;product=Fatty acid desaturase%2C type 2	desA		desA	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABV51227.1	MIT9301_01573		MIT9301																			
MIT9301_00942	-1.7802441251012584	1.8743843364910868	signal peptidase II	MIT9301_1	Prodigal:2.6	CDS	813286	813744	.	-	0	ID=MIT9301_00942;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:OUL43167.1;locus_tag=MIT9301_00942;product=signal peptidase II				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:OUL43167.1	MIT9301_00942		MIT9301																			
MIT9301_00786	0.5525137015382722	0.0895377375902099	putative Helix-turn-helix protein%2C copG family	MIT9301_1	Prodigal:2.6	CDS	685204	685572	.	-	0	ID=MIT9301_00786;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM70074.1;locus_tag=MIT9301_00786;product=putative Helix-turn-helix protein%2C copG family				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM70074.1	MIT9301_00786		MIT9301																			
MIT9301_00683	-0.6642489817639176	0.739831726459806	Hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	606847	607431	.	-	0	ID=MIT9301_00683;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM69997.1;locus_tag=MIT9301_00683;product=Hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM69997.1	MIT9301_00683		MIT9301																			
MIT9301_00447	0.5664475993043909	-1.6436971577821442	Hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	390100	390279	.	+	0	ID=MIT9301_00447;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM69767.1;locus_tag=MIT9301_00447;product=Hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM69767.1	MIT9301_00447		MIT9301																			
MIT9301_00887	-0.6964700776290282	0.4132380493378279	urease accessory protein UreE	MIT9301_1	Prodigal:2.6	CDS	764787	765236	.	-	0	ID=MIT9301_00887;Name=ureE;gene=ureE;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM70175.1;locus_tag=MIT9301_00887;product=urease accessory protein UreE	ureE		ureE	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM70175.1	MIT9301_00887		MIT9301																			
MIT9301_01181	-0.4312718026100044	0.3307859136782192	Ferredoxin-NADP(+) reductase	MIT9301_1	Prodigal:2.6	CDS	994779	995891	.	-	0	ID=MIT9301_01181;eC_number=1.18.1.2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGG09891.1;locus_tag=MIT9301_01181;product=Ferredoxin-NADP(+) reductase		1.18.1.2		ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGG09891.1	MIT9301_01181		MIT9301																			
MIT9301_00224	0.4214368068960646	-0.7090148439506266	50S ribosomal protein L1	MIT9301_1	Prodigal:2.6	CDS	206979	207665	.	-	0	ID=MIT9301_00224;Name=rpl1%2C rplA;gene=rpl1%2C rplA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE18662.1;locus_tag=MIT9301_00224;product=50S ribosomal protein L1	rpl1%2C rplA		rpl1%2C rplA	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE18662.1	MIT9301_00224		MIT9301																			
MIT9301_00577	0.8348402746407184	0.1810124414979742	Ribulose bisphosphate carboxylase small subunit	MIT9301_1	Prodigal:2.6	CDS	505109	505450	.	+	0	ID=MIT9301_00577;eC_number=4.1.1.39;Name=rbcS;gene=rbcS;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:AAP99597.1;locus_tag=MIT9301_00577;product=Ribulose bisphosphate carboxylase small subunit	rbcS	4.1.1.39	rbcS	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:AAP99597.1	MIT9301_00577		MIT9301																			
MIT9301_01428	-0.395059907402531	0.9985962656076744	Hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	1200564	1202108	.	+	0	ID=MIT9301_01428;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18055.1;locus_tag=MIT9301_01428;product=Hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18055.1	MIT9301_01428		MIT9301																			
MIT9301_01430	0.4006546783321928	0.0113106030361875	Hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	1203769	1204377	.	+	0	ID=MIT9301_01430;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18057.1;locus_tag=MIT9301_01430;product=Hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18057.1	MIT9301_01430		MIT9301																			
MIT9301_01365	0.3773675214946148	-0.076726816300798	Flavodoxin	MIT9301_1	Prodigal:2.6	CDS	1143453	1143977	.	-	0	ID=MIT9301_01365;Name=isiB;gene=isiB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE19630.1;locus_tag=MIT9301_01365;product=Flavodoxin	isiB		isiB	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE19630.1	MIT9301_01365		MIT9301																			
MIT9301_00206	-0.4445708039462616	0.1441810250230206	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	187185	187910	.	+	0	ID=MIT9301_00206;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49249.1;locus_tag=MIT9301_00206;note=conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49249.1	MIT9301_00206	conserved hypothetical protein	MIT9301																			
MIT9301_00369	0.4522322267335543	-0.5500469757289741	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	335863	336153	.	+	0	ID=MIT9301_00369;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM69657.1;locus_tag=MIT9301_00369;note=conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM69657.1	MIT9301_00369	conserved hypothetical protein	MIT9301																			
MIT9301_01544	-0.8787867779034144	1.2342013459785666	Steroid 5-alpha reductase	MIT9301_1	Prodigal:2.6	CDS	1308987	1309604	.	+	0	ID=MIT9301_01544;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGF91602.1;locus_tag=MIT9301_01544;product=Steroid 5-alpha reductase				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGF91602.1	MIT9301_01544		MIT9301																			
MIT9301_00124	0.3340344532902337	-0.372522377147326	shikimate kinase	MIT9301_1	Prodigal:2.6	CDS	120690	121247	.	+	0	ID=MIT9301_00124;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:AQL30315.1;locus_tag=MIT9301_00124;product=shikimate kinase				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:AQL30315.1	MIT9301_00124		MIT9301																			
MIT9301_01137	1.2442532023877049	-1.7768197912959054	putative metal chaperone	MIT9301_1	Prodigal:2.6	CDS	954188	955537	.	+	0	ID=MIT9301_01137;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGF90668.1;locus_tag=MIT9301_01137;product=putative metal chaperone				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGF90668.1	MIT9301_01137		MIT9301																			
MIT9301_01389	-0.7405597848963185	0.1045780402166898	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	1163424	1164086	.	-	0	ID=MIT9301_01389;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18019.1;locus_tag=MIT9301_01389;note=conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18019.1	MIT9301_01389	conserved hypothetical protein	MIT9301																			
MIT9301_01366	-0.843726991604087	0.6621676288914708	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	1144118	1144852	.	+	0	ID=MIT9301_01366;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17997.1;locus_tag=MIT9301_01366;note=conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17997.1	MIT9301_01366	conserved hypothetical protein	MIT9301																			
MIT9301_00650	-0.3775357944912868	0.1613338898189648	histidyl-tRNA synthetase	MIT9301_1	Prodigal:2.6	CDS	578199	579479	.	+	0	ID=MIT9301_00650;eC_number=6.1.1.21;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49684.1;locus_tag=MIT9301_00650;product=histidyl-tRNA synthetase		6.1.1.21		ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49684.1	MIT9301_00650		MIT9301																			
MIT9301_01718	0.8588765773279989	-0.3785937521561625	tRNA-Ser(gct)	MIT9301_1	Aragorn:1.2	tRNA	1454110	1454200	.	-	.	ID=MIT9301_01718;inference=COORDINATES:profile:Aragorn:1.2;locus_tag=MIT9301_01718;product=tRNA-Ser(gct)				COORDINATES:profile:Aragorn:1.2	MIT9301_01718		MIT9301																			
MIT9301_01049	0.5287043133041396	0.5114328514826962	tRNA-Met(cat)	MIT9301_1	Aragorn:1.2	tRNA	910753	910829	.	+	.	ID=MIT9301_01049;inference=COORDINATES:profile:Aragorn:1.2;locus_tag=MIT9301_01049;product=tRNA-Met(cat)				COORDINATES:profile:Aragorn:1.2	MIT9301_01049		MIT9301																			
MIT9301_00090	-0.4635707168828216	0.6858638753820239	phosphoglucomutase	MIT9301_1	Prodigal:2.6	CDS	91173	92810	.	+	0	ID=MIT9301_00090;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGF94710.1;locus_tag=MIT9301_00090;product=phosphoglucomutase				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGF94710.1	MIT9301_00090		MIT9301																			
MIT9301_00708	-0.9624341164745998	1.2866541858124303	Hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	629693	630178	.	-	0	ID=MIT9301_00708;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17329.1;locus_tag=MIT9301_00708;product=Hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17329.1	MIT9301_00708		MIT9301																			
MIT9301_00386	-0.6768908124915723	0.4555892802317043	TIR domain-like protein	MIT9301_1	Prodigal:2.6	CDS	343478	343726	.	+	0	ID=MIT9301_00386;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49419.1;locus_tag=MIT9301_00386;product=TIR domain-like protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49419.1	MIT9301_00386		MIT9301																			
MIT9301_01571	-0.7320956964825786	1.0388154748591922	putative M protein repeat protein	MIT9301_1	Prodigal:2.6	CDS	1325537	1325755	.	+	0	ID=MIT9301_01571;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18193.1;locus_tag=MIT9301_01571;product=putative M protein repeat protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18193.1	MIT9301_01571		MIT9301																			
MIT9301_00257	-0.4161409333355118	0.0780586697158789	beta-carotene hydroxylase	MIT9301_1	Prodigal:2.6	CDS	239249	239974	.	-	0	ID=MIT9301_00257;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:AQL30439.1;locus_tag=MIT9301_00257;product=beta-carotene hydroxylase				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:AQL30439.1	MIT9301_00257		MIT9301																			
MIT9301_00320	0.4324599744255784	0.322455191157973	Cytochrome b559 alpha-subunit	MIT9301_1	Prodigal:2.6	CDS	295410	295658	.	+	0	ID=MIT9301_00320;Name=psbE;gene=psbE;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE18756.1;locus_tag=MIT9301_00320;product=Cytochrome b559 alpha-subunit	psbE		psbE	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE18756.1	MIT9301_00320		MIT9301																			
MIT9301_00198	-0.477075962874335	0.9524558211881384	Isochorismate synthase Menaquinone-specific isochorismate synthase	MIT9301_1	Prodigal:2.6	CDS	181619	183031	.	+	0	ID=MIT9301_00198;eC_number=5.4.4.2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:AIQ94246.1;locus_tag=MIT9301_00198;product=Isochorismate synthase Menaquinone-specific isochorismate synthase		5.4.4.2		ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:AIQ94246.1	MIT9301_00198		MIT9301																			
MIT9301_00118	0.2894952418184001	-0.6996331231616695	SSU ribosomal protein S12P methylthiotransferase	MIT9301_1	Prodigal:2.6	CDS	115920	117284	.	+	0	ID=MIT9301_00118;eC_number=2.-.-.-;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49167.1;locus_tag=MIT9301_00118;product=SSU ribosomal protein S12P methylthiotransferase		2.-.-.-		ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49167.1	MIT9301_00118		MIT9301																			
MIT9301_00246	-0.529691175153214	1.0531576575200312	putative 2-keto-3-deoxy-6-phosphogluconate aldolase	MIT9301_1	Prodigal:2.6	CDS	230112	230738	.	-	0	ID=MIT9301_00246;eC_number=4.1.2.14;Name=eda;gene=eda;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO16870.1;locus_tag=MIT9301_00246;product=putative 2-keto-3-deoxy-6-phosphogluconate aldolase	eda	4.1.2.14	eda	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO16870.1	MIT9301_00246		MIT9301																			
MIT9301_01647	-0.5329785710665647	0.2573237371155726	putative ATP synthase subunit 1	MIT9301_1	Prodigal:2.6	CDS	1377299	1377775	.	-	0	ID=MIT9301_01647;Name=atp1;gene=atp1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABV51338.1;locus_tag=MIT9301_01647;product=putative ATP synthase subunit 1	atp1		atp1	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABV51338.1	MIT9301_01647		MIT9301																			
MIT9301_01861	0.3892839098140108	-0.1949059258632289	sulfolipid (UDP-sulfoquinovose) biosynthesis protein	MIT9301_1	Prodigal:2.6	CDS	1580533	1581726	.	+	0	ID=MIT9301_01861;Name=sqdB;gene=sqdB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE20124.1;locus_tag=MIT9301_01861;product=sulfolipid (UDP-sulfoquinovose) biosynthesis protein	sqdB		sqdB	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE20124.1	MIT9301_01861		MIT9301																			
MIT9301_01239	0.4389261518329262	-0.4708390418071392	putative porin	MIT9301_1	Prodigal:2.6	CDS	1053245	1054594	.	+	0	ID=MIT9301_01239;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17863.1;locus_tag=MIT9301_01239;product=putative porin				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17863.1	MIT9301_01239		MIT9301																			
MIT9301_00261	-0.6334041440884917	0.7885458055716769	Hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	244064	244399	.	-	0	ID=MIT9301_00261;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO16884.1;locus_tag=MIT9301_00261;product=Hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO16884.1	MIT9301_00261		MIT9301																			
MIT9301_01184	0.3349411690855355	-0.2456671523949054	Clock-associated two-component sensor histidine kinase SasA	MIT9301_1	Prodigal:2.6	CDS	996740	997858	.	-	0	ID=MIT9301_01184;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGG05976.1;locus_tag=MIT9301_01184;product=Clock-associated two-component sensor histidine kinase SasA				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGG05976.1	MIT9301_01184		MIT9301																			
MIT9301_00406	0.704437120193993	-0.5409650007839604	tRNA-Thr(ggt)	MIT9301_1	Aragorn:1.2	tRNA	355255	355327	.	-	.	ID=MIT9301_00406;inference=COORDINATES:profile:Aragorn:1.2;locus_tag=MIT9301_00406;product=tRNA-Thr(ggt)				COORDINATES:profile:Aragorn:1.2	MIT9301_00406		MIT9301																			
MIT9301_00387	-0.7054970314154085	0.0492692504998488	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	343754	343918	.	-	0	ID=MIT9301_00387;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17009.1;locus_tag=MIT9301_00387;note=Conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17009.1	MIT9301_00387	Conserved hypothetical protein	MIT9301																			
MIT9301_01620	0.4170760983798206	-0.5046020548576735	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	1354701	1355072	.	-	0	ID=MIT9301_01620;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM70915.1;locus_tag=MIT9301_01620;note=conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM70915.1	MIT9301_01620	conserved hypothetical protein	MIT9301																			
MIT9301_00873	-0.5578034507446537	1.2671526238804731	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	755580	755729	.	+	0	ID=MIT9301_00873;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17497.1;locus_tag=MIT9301_00873;note=Conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17497.1	MIT9301_00873	Conserved hypothetical protein	MIT9301																			
MIT9301_00437	-0.6055289844869544	0.8442798778057569	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	381711	381968	.	+	0	ID=MIT9301_00437;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49474.1;locus_tag=MIT9301_00437;note=conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49474.1	MIT9301_00437	conserved hypothetical protein	MIT9301																			
MIT9301_01131	0.462139510608434	0.4951045134627841	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	949966	950178	.	+	0	ID=MIT9301_01131;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABV50774.1;locus_tag=MIT9301_01131;note=conserved hypothetical;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABV50774.1	MIT9301_01131	conserved hypothetical	MIT9301																			
MIT9301_00734	-0.4981168963309286	0.2019754761741416	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	653075	653872	.	-	0	ID=MIT9301_00734;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49741.1;locus_tag=MIT9301_00734;note=conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49741.1	MIT9301_00734	conserved hypothetical protein	MIT9301																			
